,Model,Features,Feature,ROC-AUC decrease
0,rfc,morphology,m_pluralPattern,0.09930865023506097
1,rfc,morphology,m_rAugVowel,0.09583478441008164
2,rfc,morphology,m_loanwordSource,0.027497912453002236
3,rfc,morphology,m_derivationalCat,0.04863639661796482
4,rfc,morphology,m_secondaryMorph,0.1387458229122032
5,rfc,phonology,p_lengthC,0.00889244989763187
6,rfc,phonology,p_lengthV,0.015923164654757467
7,rfc,phonology,p_startCorV,0.04929106947305934
8,rfc,phonology,p_endCorV,0.056384136046239236
9,rfc,phonology,p_startPhoneme,0.04571677632667443
10,rfc,phonology,p_endPhoneme,0.11903806891888195
11,rfc,semantic,s_humanYN,0.018972821219083627
12,rfc,semantic,s_animateYN,0.1184981193388501
13,rfc,semantic,s_semanticField,0.05728968677068575
14,rfc,phon+morph,p_lengthC,0.005299263086082888
15,rfc,phon+morph,p_lengthV,0.0054298506338548765
16,rfc,phon+morph,p_startCorV,0.014429441944438843
17,rfc,phon+morph,p_endCorV,0.02335728994322159
18,rfc,phon+morph,p_startPhoneme,0.007189030258656357
19,rfc,phon+morph,p_endPhoneme,0.04715161002885351
20,rfc,phon+morph,m_pluralPattern,0.034581172781269445
21,rfc,phon+morph,m_rAugVowel,0.037635597264891
22,rfc,phon+morph,m_loanwordSource,0.03040374254841538
23,rfc,phon+morph,m_derivationalCat,0.024853045796436213
24,rfc,phon+morph,m_secondaryMorph,0.0936103578595045
25,rfc,phon+sem,p_lengthC,-0.002503543383981921
26,rfc,phon+sem,p_lengthV,0.00813567237176544
27,rfc,phon+sem,p_startCorV,0.03266887931046098
28,rfc,phon+sem,p_endCorV,0.03901908871303681
29,rfc,phon+sem,p_startPhoneme,0.015952515925945657
30,rfc,phon+sem,p_endPhoneme,0.0866357670767372
31,rfc,phon+sem,s_humanYN,0.01326120757320189
32,rfc,phon+sem,s_animateYN,0.05510949119851963
33,rfc,phon+sem,s_semanticField,0.009595634540462732
34,rfc,morph+sem,m_pluralPattern,0.058530404439823776
35,rfc,morph+sem,m_rAugVowel,0.05880514710049418
36,rfc,morph+sem,m_loanwordSource,0.016480177959924135
37,rfc,morph+sem,m_derivationalCat,0.03251407513886975
38,rfc,morph+sem,m_secondaryMorph,0.1254134710549807
39,rfc,morph+sem,s_humanYN,0.012914213563300447
40,rfc,morph+sem,s_animateYN,0.04000709880704182
41,rfc,morph+sem,s_semanticField,0.01712804876608153
42,rfc,all,p_lengthC,0.00465453521233829
43,rfc,all,p_lengthV,0.00404729868269925
44,rfc,all,p_startCorV,0.009366858578116852
45,rfc,all,p_endCorV,0.021174961306701153
46,rfc,all,p_startPhoneme,0.006039010756373731
47,rfc,all,p_endPhoneme,0.03925010721888908
48,rfc,all,s_humanYN,0.007059319272905436
49,rfc,all,s_animateYN,0.027702360752772725
50,rfc,all,s_semanticField,0.0100394669385224
51,rfc,all,m_pluralPattern,0.02024925498586082
52,rfc,all,m_rAugVowel,0.024579901617487472
53,rfc,all,m_loanwordSource,0.028745196316467575
54,rfc,all,m_derivationalCat,0.015069261907562905
55,rfc,all,m_secondaryMorph,0.09643937676249925
56,abc,morphology,m_pluralPattern,0.031725764950567316
57,abc,morphology,m_rAugVowel,0.062214895290258095
58,abc,morphology,m_loanwordSource,0.021698703424295383
59,abc,morphology,m_derivationalCat,0.03376023180519899
60,abc,morphology,m_secondaryMorph,0.18147254048218522
61,abc,phonology,p_lengthC,-0.002431679063125261
62,abc,phonology,p_lengthV,0.0003695857375520012
63,abc,phonology,p_startCorV,0.06719987206243153
64,abc,phonology,p_endCorV,0.02827777058870673
65,abc,phonology,p_startPhoneme,0.01878984073779953
66,abc,phonology,p_endPhoneme,0.10129284487417634
67,abc,semantic,s_humanYN,0.028525688871139657
68,abc,semantic,s_animateYN,0.08447618760468381
69,abc,semantic,s_semanticField,0.047750154789248433
70,abc,phon+morph,p_lengthC,-0.0007553209891224384
71,abc,phon+morph,p_lengthV,0.0007343104399616585
72,abc,phon+morph,p_startCorV,0.012866546432177078
73,abc,phon+morph,p_endCorV,0.013797359057657622
74,abc,phon+morph,p_startPhoneme,0.00829176150673612
75,abc,phon+morph,p_endPhoneme,0.044446935894760675
76,abc,phon+morph,m_pluralPattern,0.026837730404634354
77,abc,phon+morph,m_rAugVowel,0.020079466026278688
78,abc,phon+morph,m_loanwordSource,0.019307688209640204
79,abc,phon+morph,m_derivationalCat,0.019126974195143472
80,abc,phon+morph,m_secondaryMorph,0.190684248718307
81,abc,phon+sem,p_lengthC,-0.0005189651214594918
82,abc,phon+sem,p_lengthV,0.00072322873327719
83,abc,phon+sem,p_startCorV,0.039294915011799776
84,abc,phon+sem,p_endCorV,0.01632012703193454
85,abc,phon+sem,p_startPhoneme,0.013590276301813446
86,abc,phon+sem,p_endPhoneme,0.06809736741121179
87,abc,phon+sem,s_humanYN,0.029525820919525228
88,abc,phon+sem,s_animateYN,0.04472702972095846
89,abc,phon+sem,s_semanticField,0.0021883837397341614
90,abc,morph+sem,m_pluralPattern,0.009512520310709604
91,abc,morph+sem,m_rAugVowel,0.04686963730912905
92,abc,morph+sem,m_loanwordSource,0.025981692299386405
93,abc,morph+sem,m_derivationalCat,0.005416335045513099
94,abc,morph+sem,m_secondaryMorph,0.1914842591521892
95,abc,morph+sem,s_humanYN,0.0035404394130941997
96,abc,morph+sem,s_animateYN,0.05700368535596193
97,abc,morph+sem,s_semanticField,0.01075495968851746
98,abc,all,p_lengthC,2.749318157052943e-05
99,abc,all,p_lengthV,0.0014492382640015785
100,abc,all,p_startCorV,0.01227180128771174
101,abc,all,p_endCorV,0.010011324871946755
102,abc,all,p_startPhoneme,0.008942286618059063
103,abc,all,p_endPhoneme,0.03646962536652867
104,abc,all,s_humanYN,0.006792876412112422
105,abc,all,s_animateYN,0.042428478826450795
106,abc,all,s_semanticField,0.0028862964999271865
107,abc,all,m_pluralPattern,0.016535936349279256
108,abc,all,m_rAugVowel,0.010012787561307857
109,abc,all,m_loanwordSource,0.018072142412620194
110,abc,all,m_derivationalCat,-0.00011382475655192179
111,abc,all,m_secondaryMorph,0.19513359620452944
112,gbd,morphology,m_pluralPattern,0.03731743648295289
113,gbd,morphology,m_rAugVowel,0.07029693911278342
114,gbd,morphology,m_loanwordSource,0.019658581858894793
115,gbd,morphology,m_derivationalCat,0.03269270257109663
116,gbd,morphology,m_secondaryMorph,0.16698551836801587
117,gbd,phonology,p_lengthC,0.00554770652549397
118,gbd,phonology,p_lengthV,0.0030735128092998533
119,gbd,phonology,p_startCorV,0.08067479635456194
120,gbd,phonology,p_endCorV,0.04881259831923515
121,gbd,phonology,p_startPhoneme,0.039157134648216144
122,gbd,phonology,p_endPhoneme,0.12043906823642972
123,gbd,semantic,s_humanYN,0.013635120702715027
124,gbd,semantic,s_animateYN,0.13748933553396173
125,gbd,semantic,s_semanticField,0.054823749013163246
126,gbd,phon+morph,p_lengthC,0.004101041005892091
127,gbd,phon+morph,p_lengthV,0.00020809088567134642
128,gbd,phon+morph,p_startCorV,0.01960638440269742
129,gbd,phon+morph,p_endCorV,0.020401959237417642
130,gbd,phon+morph,p_startPhoneme,0.011715240262655205
131,gbd,phon+morph,p_endPhoneme,0.04657219013644951
132,gbd,phon+morph,m_pluralPattern,0.034106882044956405
133,gbd,phon+morph,m_rAugVowel,0.02205863820851736
134,gbd,phon+morph,m_loanwordSource,0.024353258661834687
135,gbd,phon+morph,m_derivationalCat,0.02016671378260893
136,gbd,phon+morph,m_secondaryMorph,0.14684111435671346
137,gbd,phon+sem,p_lengthC,0.001792289454410622
138,gbd,phon+sem,p_lengthV,0.0006081076508246076
139,gbd,phon+sem,p_startCorV,0.05418101236319495
140,gbd,phon+sem,p_endCorV,0.05206850401488921
141,gbd,phon+sem,p_startPhoneme,0.023176030318326202
142,gbd,phon+sem,p_endPhoneme,0.07493488196546388
143,gbd,phon+sem,s_humanYN,0.021827553209956996
144,gbd,phon+sem,s_animateYN,0.04743266172944282
145,gbd,phon+sem,s_semanticField,0.004326800635236978
146,gbd,morph+sem,m_pluralPattern,0.011575292034463128
147,gbd,morph+sem,m_rAugVowel,0.04829549852009466
148,gbd,morph+sem,m_loanwordSource,0.025223065796645776
149,gbd,morph+sem,m_derivationalCat,0.0205011860475873
150,gbd,morph+sem,m_secondaryMorph,0.18142316029177297
151,gbd,morph+sem,s_humanYN,0.003944885030210008
152,gbd,morph+sem,s_animateYN,0.046129969200248054
153,gbd,morph+sem,s_semanticField,0.009854947056809494
154,gbd,all,p_lengthC,0.0029027478780851847
155,gbd,all,p_lengthV,0.0006695159748270829
156,gbd,all,p_startCorV,0.019255721603464657
157,gbd,all,p_endCorV,0.021892649341414504
158,gbd,all,p_startPhoneme,0.007457260396107924
159,gbd,all,p_endPhoneme,0.036576277293330704
160,gbd,all,s_humanYN,0.004720114084932995
161,gbd,all,s_animateYN,0.043378884631947966
162,gbd,all,s_semanticField,0.0030241529551977607
163,gbd,all,m_pluralPattern,0.01749124930364062
164,gbd,all,m_rAugVowel,0.006078600497673707
165,gbd,all,m_loanwordSource,0.023655255312730876
166,gbd,all,m_derivationalCat,0.004433179402566779
167,gbd,all,m_secondaryMorph,0.154437481449339
168,svc,morphology,m_pluralPattern,0.008830681463773646
169,svc,morphology,m_rAugVowel,0.09305634217527235
170,svc,morphology,m_loanwordSource,0.008665030996827918
171,svc,morphology,m_derivationalCat,0.07426493815145802
172,svc,morphology,m_secondaryMorph,0.07164642300191738
173,svc,phonology,p_lengthC,-0.01343535630556493
174,svc,phonology,p_lengthV,0.012922639253852505
175,svc,phonology,p_startCorV,0.02909412083079042
176,svc,phonology,p_endCorV,0.05826653090522155
177,svc,phonology,p_startPhoneme,-0.007766002392103803
178,svc,phonology,p_endPhoneme,0.05293387886313087
179,svc,semantic,s_humanYN,-0.003965118490594284
180,svc,semantic,s_animateYN,-0.003830066416699749
181,svc,semantic,s_semanticField,0.009337321749403807
182,svc,phon+morph,p_lengthC,-0.0028242904703889545
183,svc,phon+morph,p_lengthV,0.005961320381961457
184,svc,phon+morph,p_startCorV,0.010695524988642166
185,svc,phon+morph,p_endCorV,0.026282878849878472
186,svc,phon+morph,p_startPhoneme,0.0020257671726337163
187,svc,phon+morph,p_endPhoneme,0.048025125529973754
188,svc,phon+morph,m_pluralPattern,0.007534041938038074
189,svc,phon+morph,m_rAugVowel,0.039502945537079275
190,svc,phon+morph,m_loanwordSource,0.005594755247946696
191,svc,phon+morph,m_derivationalCat,0.011013717377838387
192,svc,phon+morph,m_secondaryMorph,0.01210555806148042
193,svc,phon+sem,p_lengthC,-0.0043206742063696965
194,svc,phon+sem,p_lengthV,0.01701479917710594
195,svc,phon+sem,p_startCorV,0.023999124251123063
196,svc,phon+sem,p_endCorV,0.031079177829647003
197,svc,phon+sem,p_startPhoneme,0.0023075043262724966
198,svc,phon+sem,p_endPhoneme,0.058530923774139494
199,svc,phon+sem,s_humanYN,0.021256754908102606
200,svc,phon+sem,s_animateYN,0.03592104982026126
201,svc,phon+sem,s_semanticField,0.007387438718925513
202,svc,morph+sem,m_pluralPattern,0.016224026099484125
203,svc,morph+sem,m_rAugVowel,0.10463859501877358
204,svc,morph+sem,m_loanwordSource,0.01617949637799955
205,svc,morph+sem,m_derivationalCat,0.07210795689486395
206,svc,morph+sem,m_secondaryMorph,0.07923172292829332
207,svc,morph+sem,s_humanYN,0.04349046399533519
208,svc,morph+sem,s_animateYN,0.03899179366943765
209,svc,morph+sem,s_semanticField,0.019524810591640834
210,svc,all,p_lengthC,-0.0018079336707350043
211,svc,all,p_lengthV,0.005123582400797832
212,svc,all,p_startCorV,0.008589335431004525
213,svc,all,p_endCorV,0.016222199537419716
214,svc,all,p_startPhoneme,0.006470288593574021
215,svc,all,p_endPhoneme,0.04123667686051228
216,svc,all,s_humanYN,0.014766827577217966
217,svc,all,s_animateYN,0.02689862105682265
218,svc,all,s_semanticField,0.005392636099202992
219,svc,all,m_pluralPattern,0.0016896106407699072
220,svc,all,m_rAugVowel,0.03147584321818114
221,svc,all,m_loanwordSource,0.0013525473119890663
222,svc,all,m_derivationalCat,0.005466921556735854
223,svc,all,m_secondaryMorph,0.005103592802475898
224,evc,morphology,m_pluralPattern,0.057888223105593925
225,evc,morphology,m_rAugVowel,0.0796270956702638
226,evc,morphology,m_loanwordSource,0.02357588631757602
227,evc,morphology,m_derivationalCat,0.038871309286353226
228,evc,morphology,m_secondaryMorph,0.1616218319675613
229,evc,phonology,p_lengthC,0.009181839663103144
230,evc,phonology,p_lengthV,0.010349889115813735
231,evc,phonology,p_startCorV,0.06566146678632574
232,evc,phonology,p_endCorV,0.057316132271167886
233,evc,phonology,p_startPhoneme,0.04461250474036491
234,evc,phonology,p_endPhoneme,0.12510519369585532
235,evc,semantic,s_humanYN,0.013845626157256976
236,evc,semantic,s_animateYN,0.12983590552375493
237,evc,semantic,s_semanticField,0.05571302400770834
238,evc,phon+morph,p_lengthC,0.003751777063364868
239,evc,phon+morph,p_lengthV,0.0024539460139404176
240,evc,phon+morph,p_startCorV,0.01813280582405282
241,evc,phon+morph,p_endCorV,0.02001411174549976
242,evc,phon+morph,p_startPhoneme,0.009694824445338188
243,evc,phon+morph,p_endPhoneme,0.043131256736576085
244,evc,phon+morph,m_pluralPattern,0.030483830523027732
245,evc,phon+morph,m_rAugVowel,0.030558427636223698
246,evc,phon+morph,m_loanwordSource,0.02756594909748394
247,evc,phon+morph,m_derivationalCat,0.023222044423211453
248,evc,phon+morph,m_secondaryMorph,0.12758754616585163
249,evc,phon+sem,p_lengthC,0.0010201213921807613
250,evc,phon+sem,p_lengthV,0.0039817461803019726
251,evc,phon+sem,p_startCorV,0.044003123004024924
252,evc,phon+sem,p_endCorV,0.046074046236891666
253,evc,phon+sem,p_startPhoneme,0.01956292930388267
254,evc,phon+sem,p_endPhoneme,0.08063030071408678
255,evc,phon+sem,s_humanYN,0.015595364221196109
256,evc,phon+sem,s_animateYN,0.051181926858236595
257,evc,phon+sem,s_semanticField,0.006469169814724057
258,evc,morph+sem,m_pluralPattern,0.02990378091896618
259,evc,morph+sem,m_rAugVowel,0.05031772979247173
260,evc,morph+sem,m_loanwordSource,0.021851485141506023
261,evc,morph+sem,m_derivationalCat,0.025608210288338765
262,evc,morph+sem,m_secondaryMorph,0.16584875527247742
263,evc,morph+sem,s_humanYN,0.005420470143018713
264,evc,morph+sem,s_animateYN,0.03968335153696858
265,evc,morph+sem,s_semanticField,0.010066423105669403
266,evc,all,p_lengthC,0.00405588534363008
267,evc,all,p_lengthV,0.0027736584114643067
268,evc,all,p_startCorV,0.014739172661713765
269,evc,all,p_endCorV,0.02085477737993945
270,evc,all,p_startPhoneme,0.006283576762966949
271,evc,all,p_endPhoneme,0.03512187658839685
272,evc,all,s_humanYN,0.005270320477933541
273,evc,all,s_animateYN,0.03339855475384729
274,evc,all,s_semanticField,0.0068204324310190585
275,evc,all,m_pluralPattern,0.018083199848921074
276,evc,all,m_rAugVowel,0.014190010025146275
277,evc,all,m_loanwordSource,0.026462349057071958
278,evc,all,m_derivationalCat,0.009270615394192569
279,evc,all,m_secondaryMorph,0.1316371600830732
