,Features,Model,accuracy,precision,recall,f1,roc-auc,brier
0,morphology,ls,0.74,0.75,0.98,0.85,0.68,0.18
1,morphology,knn,0.8,0.84,0.91,0.87,0.79,0.15
2,phonology,ls,0.79,0.79,0.97,0.87,0.72,0.16
3,phonology,knn,0.79,0.82,0.92,0.87,0.73,0.16
4,semantic,ls,0.75,0.75,1.0,0.86,0.67,0.17
5,semantic,knn,0.72,0.75,0.94,0.83,0.56,0.22
6,phon+morph,ls,0.78,0.8,0.95,0.87,0.74,0.16
7,phon+morph,knn,0.79,0.82,0.91,0.86,0.73,0.16
8,phon+sem,ls,0.8,0.81,0.95,0.88,0.78,0.15
9,phon+sem,knn,0.78,0.81,0.91,0.86,0.7,0.17
10,morph+sem,ls,0.75,0.76,0.98,0.85,0.73,0.17
11,morph+sem,knn,0.77,0.81,0.9,0.85,0.75,0.17
12,all,ls,0.79,0.81,0.95,0.87,0.79,0.15
13,all,knn,0.76,0.8,0.91,0.85,0.68,0.18
